"Bene/Male","CD Acqua","CD Cibo","CD Navigazione","Colore","Cosmologia","Nome","Stato","Velocità"
"","15","10","15","#EFFFFF","","Artico","Attivo","0.25"
"","20","18","13","#FFDF00","","Deserto","Attivo","1.0"
"","10","10","15","#007F00","","Foresta","Attivo","0.5"
"","13","10","10","#2FDF2F","","Prateria","Attivo","1.0"
"","13","15","10","#FF7F00","","Collina","Attivo","1.0"
"","15","15","18","#FF0000","","Montagna","Attivo","0.25"
"","10","13","18","#BF00FF","","Palude","Attivo","0.25"
"","15","10","13","#00BFFF","","Coste","Attivo","0.25"
"","15","10","15","#0000FF","","Acquatico","Attivo","0.25"
"Male","","","","","Esterno","Male","Dopo",""
"Male","","","","","Esterno","Inferno","Dopo",""
"Male","","","","","Esterno","Abisso","Dopo",""
"Male","","","","","Esterno","Carceri","Dopo",""
"Male","","","","","Esterno","Distese Grige","Dopo",""
"Male","","","","","Esterno","Gehenna","Dopo",""
"Neutrale","","","","","Elementale","Acqua","Dopo",""
"Neutrale","","","","","Elementale","Aria","Dopo",""
"Neutrale","","","","","Elementale","Fuoco","Dopo",""
"Neutrale","","","","","Elementale","Terra","Dopo",""
"Neutrale","","","","","Specchio","Feywild","A breve",""
"Male","","","","","Specchio","Shadowfell","A breve",""
"","","","","","","Vulcano","A breve",""
"","","","","","","A Dolce","A breve",""
"","","","","","","Giungla","A breve",""
"","","","","","","Savana","A breve",""
"Male","","","","","","Cimitero","A breve",""
"Male","","","","","Esterno","Far Realms","A breve",""
"","","","","","","Space","A breve",""
"","","","","","Esterno","Astrale","Non attivare",""
"","","","","","Specchio","Etereo","Non attivare",""
"Neutrale","","","","","Esterno","Limbo","Non attivare",""
"Bene","","","","","Esterno","Bene","Non attivare",""
"Male","","","","","","Underdark","Non attivare",""
"","","","","","","Urbano","Non attivare",""
"","","","","","","Dungeon","Non attivare",""
"","","","","","","Mechanus","Non attivare",""
"Male","","","","","Esterno","Pandemonium","Non attivare",""
