"Biomi %Alta","Biomi %Bassa","Fazioni","Grado Sfida","Link 5et","Nome","Tag","Tipo","Descrizione"
"Coste","A Dolce","Aboleth","4.0","https://5e.tools/bestiary.html#chuul_mm","Chuul","Aboleth","Aberrazione",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Endemico","",""
"","","","","","","Servitore","",""
"Underdark","Palude","Aboleth","10.0","https://5e.tools/bestiary.html#aboleth_mm","Aboleth ","Aboleth","Aberrazione",""
"Dungeon","","","","","","","",""
"","Coste","","","","","","",""
"","A Dolce","","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Boss","",""
"","","","","","","Interessante","",""
"Underdark","","Beholder","0.5","https://5e.tools/bestiary.html#gazer_vgm","Gazer","Beholder","Aberrazione",""
"Dungeon","","","","","","","",""
"","","","","","","Endemico","",""
"","","","","","","Sconosciuto","",""
"","","","","","","Interessante","",""
"Underdark","","Beholder","3.0","https://5e.tools/bestiary.html#spectator_mm","Spectator","Beholder","Aberrazione",""
"Dungeon","","","","","","","",""
"","","","","","","Endemico","",""
"","","","","","","Sconosciuto","",""
"","","","","","","Interessante","",""
"Underdark","","Beholder","6.0","https://5e.tools/bestiary.html#gauth_vgm","Gauth","Beholder","Aberrazione",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Boss","",""
"","","","","","","Sconosciuto","",""
"","","","","","","Interessante","",""
"Underdark","","Beholder","10.0","https://5e.tools/bestiary.html#death%20kiss_vgm","Death Kiss","Beholder","Aberrazione",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Boss","",""
"","","","","","","Interessante","",""
"Underdark","","Beholder","13.0","https://5e.tools/bestiary.html#beholder_mm","Beholder","Beholder","Aberrazione",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Boss","",""
"","","","","","","Interessante","",""
"Space","","Mind Flayer","2.0","https://5e.tools/bestiary.html#intellect%20devourer_mm","Intellect Devourer","Cane","Aberrazione","<p>Un divoratore di intelletti assomiglia a un cervello ambulante protetto da una copertura incrostata e poggiato su gambe artigliate bestiali.&nbsp;Questa ripugnante aberrazione si nutre dell'intelligenza delle creature senzienti, prendendo il controllo del corpo di una vittima per conto dei suoi maestri di scorticamento mentale.</p><p><strong><em>Creazioni Illithid.&nbsp;&nbsp;</em></strong>I Mind Flayer allevano divoratori di intelletti per servire come cacciatori vagabondi del Sottosuolo, creando un divoratore di intelletti prendendo il cervello di un servitore e sottoponendolo a un orribile rituale.&nbsp;Mentre spuntano le gambe, il cervello diventa un predatore intelligente, contorto e malvagio come i suoi padroni.</p><p><strong><em>Burattinai mortali.&nbsp;</em></strong>Un divoratore di intelletti consuma la mente e i ricordi di una creatura, quindi trasforma il corpo ospite in un burattino sotto il suo controllo.&nbsp;Un divoratore di intelletti in genere usa il suo ospite fantoccio per attirare gli altri nel dominio dei Mind Flayer per essere affascinati o consumati.</p>"
"Astrale","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Mind Flayer","",""
"","","","","","","Servitore","",""
"Space","","Mind Flayer","5.0","https://5e.tools/bestiary.html#mindwitness_vgm","Mindwitness","Beholder","Aberrazione","<p>Se l'osservatore può essere stordito e portato al sicuro nella pozza di salamoia del cervello anziano, può essere convertito attraverso la ceremorfosi in un testimone mentale.&nbsp;Il processo di ceremorfosi trasforma quattro dei gambi oculari di chi guarda in tentacoli simili a quelli di un Mind Flayer e altera alcuni dei raggi oculari di chi guarda. Meno intelligenti degli osservatori e meno soggetti a mettere in pericolo la colonia, i testimoni mentali sono psichicamente impressi con devozione al cervello anziano e sottomissione ai comandi Illithid, rendendoli obbedienti quasi quanto i divoratori di intelletto.</p><p><strong><em>Hub Telepatico.&nbsp;</em></strong>La funzione principale di un testimone mentale è migliorare la comunicazione telepatica in una colonia di Mind Flayer.&nbsp;Una creatura in comunicazione telepatica con un testimone mentale può conversare telepaticamente attraverso di essa con un massimo di sette altre creature che il testimone mentale può vedere, consentendo la rapida diffusione di comandi e altre informazioni.</p><p><strong><em>Cercatori solitari.&nbsp;</em></strong>Se separato dai suoi padroni Illithid, un testimone mentale cerca altre creature telepatiche per dirgli cosa fare.&nbsp;È noto che i testimoni mentali si alleano con i Flumph e gli esseri planari telepatici come i demoni, cambiando la loro visione del mondo e cambiando il loro allineamento in modo che corrisponda a quello dei loro nuovi padroni.</p>"
"Astrale","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Mind Flayer","",""
"","","","","","","Sociale","",""
"Space","","Mind Flayer","7.0","https://5e.tools/bestiary.html#mind%20flayer_mm","Mind Flayer","Mind Flayer","Aberrazione",""
"Astrale","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Space","","Mind Flayer","8.0","https://5e.tools/bestiary.html#mind%20flayer%20arcanist_mm","Mind Flayer Arcanist","Mind Flayer","Aberrazione","<p>Alcuni Mind Flayer integrano il loro potere psionico con incantesimi arcani.&nbsp;Tuttavia, sono considerati devianti dai loro coetanei Illithid e di solito evitati.</p>"
"Astrale","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Space","","Mind Flayer","8.0","https://5e.tools/bestiary.html#mind%20flayer%20psion_vgm","Mind Flayer Psion","Mind Flayer","Aberrazione","<p>I Mind Flayer a volte si dedicano a uno studio più approfondito del potere psionico e molti eccellono nell'usare la loro energia psionica innata per duplicare il lancio di incantesimi.</p>"
"Astrale","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
