"Nome","Biomi"
"Accampamento disabitato","Deserto"
"","Foresta"
"","Prateria"
"","Collina"
"","Montagna"
"","Palude"
"Accampamento tribale","Deserto"
"","Foresta"
"","Prateria"
"","Collina"
"","Montagna"
"","Palude"
"Alberi a forma di portale","Foresta"
"","Prateria"
"","Collina"
"","Montagna"
"","Palude"
"Alberi colorati","Foresta"
"","Prateria"
"","Collina"
"","Montagna"
"Alberi Morti","Foresta"
"","Prateria"
"","Collina"
"","Montagna"
"","Palude"
"Alberi rossi","Foresta"
"","Prateria"
"","Collina"
"","Montagna"
"Alberi scintillanti","Foresta"
"","Prateria"
"","Collina"
"","Montagna"
"Alberi spettrali","Foresta"
"","Prateria"
"","Collina"
"","Montagna"
"","Palude"
"Albero con impiccati","Foresta"
"","Prateria"
"","Collina"
"","Montagna"
"","Palude"
"Albero Enorme","Foresta"
"","Prateria"
"","Collina"
"","Montagna"
"Alligatore impagliato","Palude"
"Altare cerimoniale","Deserto"
"","Foresta"
"","Prateria"
"","Collina"
"","Montagna"
"","Palude"
"Altare sacrificale","Deserto"
"","Foresta"
"","Prateria"
"","Collina"
"","Montagna"
"","Palude"
"Bandiera puntata","Deserto"
"","Foresta"
"","Prateria"
"","Collina"
"","Montagna"
"","Palude"
"Barca a remi abbandonata","Palude"
"Bolle verdi su alberi","Foresta"
"","Prateria"
"","Collina"
"","Palude"
"Boschetto isolato","Foresta"
"","Prateria"
"","Collina"
"","Montagna"
"Cactus","Deserto"
"Campi bruciati","Prateria"
"","Collina"
"Campi coltivati","Prateria"
"","Collina"
"Campo di fiori","Foresta"
"","Prateria"
"","Collina"
"","Montagna"
"","Palude"
"Canne di bambù","Palude"
"Capanna di marzapane","Foresta"
"","Prateria"
"","Collina"
"Capanna inquietante con teschi","Palude"
"Carcassa Grande animale morto","Deserto"
"","Foresta"
"","Prateria"
"","Collina"
"","Montagna"
"","Palude"
"Cartello","Deserto"
"","Foresta"
"","Prateria"
"","Collina"
"","Montagna"
"","Palude"
"Casa con Camino che fuma","Foresta"
"","Prateria"
"","Collina"
