Skip,Cool,Tipo,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Creature,Link,CR,Dungeon,Foresta,Coste,Aquatico,Deserto,Prateria,Colline,Montagne,Palude,Artico,A Dolce,Giungla,Savana,Cimitero,Far Realms ,Space,Astrale,Etereo,Vulcano,Limbo,Feywild,Shadowfell,Bene,Male,Inferno,Abisso,Carceri,Distese Grige ,Gehenna,Acqua,Aria,Fuoco,Terra,Underdark,Urban,Mechanus
,,Aberrazione,Aboleth,,Servitore,,,,Endemico,Chuul,https://5e.tools/bestiary.html#chuul_mm,4,alta,,alta,bassa,,,,,,,bassa,,,,,,,,,,,,,,,,,,,,,,,alta,,
,TRUE,Aberrazione,Aboleth,,,,,,Boss,Aboleth ,https://5e.tools/bestiary.html#aboleth_mm,10,alta,,bassa,alta,,,,,bassa,,bassa,,,,alta,,,,,,,,,,,,,,,,,,,alta,,
TRUE,TRUE,Aberrazione,,,Beholder,,,,Endemico,Gazer,https://5e.tools/bestiary.html#gazer_vgm,"0,5",alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,,
TRUE,TRUE,Aberrazione,,,Beholder,,,,Endemico,Spectator,https://5e.tools/bestiary.html#spectator_mm,3,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,,
TRUE,TRUE,Aberrazione,,,Beholder,,,,Boss,Gauth,https://5e.tools/bestiary.html#gauth_vgm,6,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,,
,TRUE,Aberrazione,,,Beholder,,,,Boss,Death Kiss,https://5e.tools/bestiary.html#death%20kiss_vgm,10,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,,
,TRUE,Aberrazione,,,Beholder,,,,Boss,Beholder,https://5e.tools/bestiary.html#beholder_mm,13,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,,
,,Aberrazione,,Mind Flayer,,,,Sociale,,Intellect Devourer,https://5e.tools/bestiary.html#intellect%20devourer_mm,2,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,,
,,Aberrazione,,Mind Flayer,Beholder,,,Sociale,,Mindwitness,https://5e.tools/bestiary.html#mindwitness_vgm,5,alta,,,,,,,,,,,,,,,alta,,,,,,,,,,,,,,,,,,alta,,
,,Aberrazione,,Mind Flayer,,,,Sociale,,Mind Flayer,https://5e.tools/bestiary.html#mind%20flayer_mm,7,alta,,,,,,,,,,,,,,,alta,,,,,,,,,,,,,,,,,,alta,,
