"Biomi","Nome"
"Deserto","Accampamento disabitato"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Deserto","Accampamento tribale"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Foresta","Alberi a forma di portale"
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Foresta","Alberi colorati"
"Prateria",""
"Collina",""
"Montagna",""
"Foresta","Alberi Morti"
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Foresta","Alberi rossi"
"Prateria",""
"Collina",""
"Montagna",""
"Foresta","Alberi scintillanti"
"Prateria",""
"Collina",""
"Montagna",""
"Foresta","Alberi spettrali"
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Foresta","Albero con impiccati"
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Foresta","Albero Enorme"
"Prateria",""
"Collina",""
"Montagna",""
"Palude","Alligatore impagliato"
"Deserto","Altare cerimoniale"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Deserto","Altare sacrificale"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Deserto","Bandiera puntata"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Palude","Barca a remi abbandonata"
"Foresta","Bolle verdi su alberi"
"Prateria",""
"Collina",""
"Palude",""
"Foresta","Boschetto isolato"
"Prateria",""
"Collina",""
"Montagna",""
"Deserto","Cactus"
"Prateria","Campi bruciati"
"Collina",""
"Prateria","Campi coltivati"
"Collina",""
"Foresta","Campo di fiori"
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Palude","Canne di bambù"
"Foresta","Capanna di marzapane"
"Prateria",""
"Collina",""
"Palude","Capanna inquietante con teschi"
"Deserto","Carcassa Grande animale morto"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Deserto","Cartello"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Foresta","Casa con Camino che fuma"
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Foresta","Casa sull'Albero"
"Prateria",""
"Collina",""
"Montagna",""
"Foresta","Cascata"
"Prateria",""
"Collina",""
"Montagna",""
"Collina","Case abband. sugli alberi"
"Palude",""
"Foresta","Case abbandonata sugli alberi"
"Foresta","Case contadine"
"Prateria",""
"Collina",""
"Montagna",""
"Foresta","Case fiabesche negli alberi"
"Prateria",""
"Collina",""
"Foresta","Catasta di Legna"
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Foresta","Cerchio di pietre"
"Prateria",""
"Collina",""
"Montagna",""
"Deserto","Cimitero"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Prateria","Disegni nel grano"
"Collina",""
"Deserto","Erba Mobile"
"Foresta","Falegnameria"
"Prateria",""
"Collina",""
"Montagna",""
"Deserto","Forte"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Foresta","Funghi giganti"
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Foresta","Giardino rigoglioso"
"Prateria",""
"Collina",""
"Montagna",""
"Montagna","Graffiti"
"Deserto","Grande cancello"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Deserto","Grande cratere"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Foresta","Grande radura"
"Prateria",""
"Collina",""
"Deserto","Grande Roccia"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Deserto","Grotta"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Foresta","Labirinto di pietra e rampicanti"
"Prateria",""
"Collina",""
"Montagna",""
"Foresta","Lago"
"Prateria",""
"Collina",""
"Montagna",""
"Palude","Lago putrefatto"
"Deserto","Locanda disabitata"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Prateria","Macchinari agricoli"
"Collina",""
"Montagna","Miniera"
"Deserto","Monastero"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Foresta","Mulino"
"Prateria",""
"Collina",""
"Montagna",""
"Foresta","Nido gigante"
"Collina",""
"Montagna",""
"Deserto","Oasi"
"Prateria","Opere di irrigazione"
"Collina",""
"Deserto","Orme Giganti"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Deserto","Ossa di Animali"
"Palude","Palafitte"
"Deserto","Piramide"
"Prateria","Risaia"
"Deserto","Rocce colorate"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Deserto","Rovine"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Foresta","Ruscello"
"Prateria",""
"Collina",""
"Montagna",""
"Foresta","Ruscello fatato"
"Prateria",""
"Collina",""
"Montagna",""
"Deserto","Scalinata"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Deserto","Sfera luminosa che fluttua"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Foresta","Sorgente"
"Collina",""
"Montagna",""
"Deserto","Spada Roccia"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Foresta","Spaventapasseri"
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Prateria","Stalle"
"Collina",""
"Montagna",""
"Deserto","Statua enorme Di Pietra"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Deserto","Statue dimenticate"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Deserto","Strane pitture"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Deserto","Tempio"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Deserto","Torre"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Deserto","Totem"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Foresta","Tronco Gigante"
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Deserto","Trono"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Deserto","Un castello"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Deserto","Villaggio bruciato"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Deserto","Villaggio distrutto"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
"Deserto","Vulcano"
"Foresta",""
"Prateria",""
"Collina",""
"Montagna",""
"Palude",""
